nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
589 1013 75 1056 200 3096 2762
590 1017 75 1056 199 3113 2728
591 1019 75 1065 199 3119 2770
592 1020 75 1070 203 3124 2770
593 1028 76 1069 202 3141 2788
594 1034 76 1079 202 3164 2803
595 1033 76 1079 201 3154 2819
596 1037 76 1082 204 3178 2796
597 1039 76 1090 202 3182 2820
598 1050 76 1089 204 3236 2815
599 1046 76 1091 203 3201 2839
600 1049 77 1093 203 3205 2844
601 1050 77 1094 207 3215 2863
602 1057 77 1102 205 3221 2878
603 1065 77 1108 205 3260 2873
604 1069 77 1112 207 3265 2904
605 1070 78 1114 206 3252 2907
606 1072 77 1119 207 3264 2899
607 1076 78 1117 208 3284 2904
608 1080 78 1130 208 3309 2927
609 1080 78 1127 208 3302 2948
610 1087 78 1129 209 3317 2944
611 1088 78 1132 208 3316 2960
612 1090 79 1134 208 3339 2952
613 1096 78 1141 212 3342 2965
614 1095 78 1141 210 3336 2983
615 1099 79 1146 213 3350 2997
616 1106 80 1154 210 3385 2990
617 1111 79 1158 211 3394 3012
618 1121 79 1168 218 3383 3013
619 1117 79 1167 212 3413 3023
620 1122 79 1170 210 3414 3018
621 1125 80 1171 213 3431 3058
622 1133 80 1177 213 3444 3032
623 1131 80 1182 213 3443 3074
624 1134 80 1182 214 3471 3059
625 1139 80 1188 215 3494 3086
626 1142 80 1189 215 3496 3079
627 1147 80 1193 215 3495 3091
628 1155 82 1206 217 3518 3121
629 1155 81 1198 216 3505 3115
630 1159 81 1205 216 3525 3141
631 1163 80 1211 220 3554 3137
632 1163 81 1213 218 3528 3163
633 1168 81 1214 217 3551 3149
634 1175 82 1224 218 3594 3168
635 1179 82 1226 219 3592 3184
636 1181 82 1228 221 3592 3208
637 1188 82 1238 223 3612 3191
638 1185 82 1232 225 3602 3204
639 1196 82 1245 222 3631 3228
640 1190 82 1240 219 3610 3227
641 1200 83 1251 222 3671 3226
642 1206 83 1255 223 3683 3215
643 1206 82 1255 224 3675 3272
644 1220 83 1268 224 3689 3266
645 1216 82 1265 224 3706 3270
646 1218 82 1264 226 3689 3294
647 1221 83 1270 223 3710 3320
648 1228 85 1276 226 3718 3315
649 1231 83 1277 224 3742 3292
650 1235 83 1280 225 3723 3337
651 1238 84 1289 227 3754 3341
652 1247 84 1288 225 3753 3352
653 1252 84 1300 230 3811 3355
654 1254 84 1304 230 3789 3365
655 1257 84 1305 228 3827 3373
656 1255 85 1308 228 3817 3382
657 1259 85 1303 229 3812 3384
658 1264 84 1315 230 3845 3403
659 1268 85 1321 230 3852 3430
660 1276 84 1324 229 3877 3417
661 1276 86 1325 233 3871 3441
662 1281 87 1329 232 3890 3434
663 1285 85 1331 231 3889 3436
664 1290 85 1338 233 3918 3473
665 1300 86 1351 234 3934 3499
666 1298 85 1346 234 3950 3473
667 1301 86 1353 234 3932 3515
668 1299 86 1351 234 3928 3511
669 1310 86 1359 235 3951 3529
670 1314 86 1361 240 3990 3535
671 1313 86 1363 237 3973 3533
672 1322 87 1370 241 4018 3519
673 1317 86 1371 238 4007 3560
674 1327 87 1381 239 4005 3585
675 1329 86 1379 237 4043 3557
676 1334 87 1391 237 4051 3601
677 1338 88 1394 238 4073 3577
678 1341 89 1394 238 4068 3603
679 1343 87 1395 240 4072 3628
680 1360 88 1411 241 4104 3655
681 1358 88 1407 241 4118 3638
682 1359 88 1412 242 4125 3650
683 1363 87 1412 242 4114 3640
684 1371 88 1424 242 4153 3704
685 1369 89 1424 246 4136 3679
686 1374 88 1425 243 4154 3674
687 1374 88 1427 242 4177 3704
688 1379 89 1429 243 4177 3704
689 1385 88 1436 243 4206 3703
690 1386 88 1437 243 4220 3726
691 1393 89 1454 244 4212 3795
692 1399 93 1447 249 4231 3717
693 1397 89 1457 242 4247 3758
694 1404 90 1456 245 4265 3759
695 1410 90 1459 246 4293 3794
696 1412 89 1465 245 4273 3791
697 1418 89 1469 251 4281 3804
698 1428 90 1476 249 4299 3851
699 1427 89 1478 248 4328 3859
700 1426 90 1481 250 4324 3867
701 1432 90 1488 247 4369 3825
702 1441 91 1492 250 4378 3900
703 1438 91 1492 248 4393 3871
704 1450 91 1505 250 4400 3921
705 1457 90 1505 250 4433 3939
706 1464 92 1519 254 4454 3981
707 1461 93 1511 252 4440 3970
708 1462 91 1516 254 4439 4008
709 1468 94 1523 253 4479 4009
710 1471 92 1527 255 4475 4027
711 1471 91 1523 255 4504 3971
712 1472 92 1530 252 4538 3985
713 1483 92 1534 255 4540 4033
714 1493 93 1543 256 4559 4041
715 1491 92 1549 254 4569 4050
716 1520 93 1575 262 4655 4138
717 1500 94 1557 257 4591 4082
718 1508 93 1565 260 4623 4091
719 1508 92 1561 256 4632 4088
720 1513 93 1572 262 4661 4114
721 1523 93 1577 258 4667 4129
722 1526 93 1582 258 4668 4177
723 1523 94 1579 259 4663 4148
724 1533 94 1588 260 4693 4158
725 1537 94 1590 264 4735 4153
726 1541 96 1600 260 4711 4206
727 1546 94 1594 260 4709 4217
728 1552 95 1607 261 4768 4204
729 1556 94 1614 266 4766 4242
730 1555 95 1610 261 4779 4252
731 1559 94 1614 263 4751 4254
732 1568 94 1624 262 4836 4233
733 1576 96 1632 265 4826 4279
734 1567 95 1627 261 4800 4239
735 1578 95 1637 263 4833 4310
736 1590 96 1644 266 4849 4315
737 1599 96 1652 266 4890 4332
738 1587 95 1644 265 4842 4317
739 1590 95 1646 264 4870 4302
740 1599 97 1656 266 4899 4308
741 1602 95 1655 266 4897 4352
742 1612 96 1673 267 4928 4368
743 1614 96 1671 266 4942 4389
744 1614 97 1675 269 4970 4379
745 1621 97 1676 270 4936 4421
746 1625 97 1686 270 4956 4428
747 1628 97 1684 269 4990 4421
748 1631 97 1691 271 5014 4414
749 1641 96 1697 270 5025 4430
750 1637 96 1693 270 4995 4437
751 1648 97 1700 273 5036 4449
752 1645 98 1704 271 5019 4456
753 1659 98 1717 273 5074 4515
754 1656 97 1717 272 5065 4506
755 1668 98 1720 274 5101 4532
756 1675 98 1730 273 5119 4486
757 1671 98 1733 275 5099 4549
758 1676 98 1730 273 5114 4545
759 1679 98 1739 275 5133 4563
760 1690 99 1748 277 5160 4580
761 1690 98 1751 276 5185 4610
762 1698 100 1756 279 5166 4597
763 1704 99 1767 277 5226 4589
764 1701 99 1760 277 5226 4596
765 1713 99 1775 279 5240 4632
766 1716 100 1774 279 5238 4649
