nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
544 1856 141 1887 357 5302 4632
545 2096 157 2130 400 5932 5213
546 1919 144 1956 370 5517 4855
547 1860 138 1898 354 5291 4662
548 1742 132 1774 342 5036 4441
549 1823 137 1858 351 5300 4658
550 1733 130 1775 335 5034 4422
551 1846 136 1891 352 5293 4667
552 1730 130 1769 336 5007 4398
553 1798 134 1835 344 5139 4557
554 1764 131 1794 340 5076 4504
555 1702 127 1740 330 4961 4359
556 1774 131 1815 339 5122 4571
557 1772 131 1819 340 5126 4526
558 1798 133 1838 343 5179 4555
559 1824 137 1872 357 5308 4673
560 1929 142 1974 372 5491 4841
561 1785 132 1829 341 5181 4570
562 1909 141 1940 367 5414 4828
563 2243 160 2256 411 6132 5445
564 2349 170 2366 435 6665 5864
565 1998 145 2031 373 5696 5049
566 1854 139 1893 358 5368 4711
567 1938 141 2011 366 5553 4938
568 2303 166 2347 420 6505 5751
569 1861 135 1902 350 5393 4733
570 2187 157 2214 405 6235 5523
571 2294 165 2321 422 6435 5727
572 2189 160 2221 404 6220 5513
573 2010 145 2045 375 5764 5047
574 1935 139 1957 361 5599 4989
575 1924 137 1955 357 5537 4878
576 1940 140 1975 362 5643 4961
577 1992 141 2039 371 5804 5078
578 1956 141 2001 367 5694 5041
579 1977 142 2028 371 5823 5092
580 1940 140 1990 361 5642 4997
581 1900 137 1932 355 5559 4982
582 2139 150 2155 393 6188 5394
583 1935 137 1965 354 5646 5060
584 1961 138 2004 369 5753 5066
585 2063 147 2136 38
