nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
567 58 58 1323 1323 103413 103413
568 58 58 1324 1324 103814 103814
569 58 58 1330 1330 104255 104255
570 58 58 1335 1335 104648 104648
571 58 58 1338 1338 104973 104973
572 58 58 1334 1334 105191 105191
573 58 58 1333 1333 105753 105753
574 59 59 1343 1343 106038 106038
575 58 58 1344 1344 106563 106563
576 59 59 1348 1348 106721 106721
577 58 58 1346 1346 107036 107036
578 59 59 1349 1349 107523 107523
579 58 58 1359 1359 107958 107958
580 58 58 1354 1354 108184 108184
581 58 58 1353 1353 108726 108726
582 59 59 1362 1362 108993 108993
583 58 58 1370 1370 109478 109478
584 59 59 1366 1366 109719 109719
585 59 59 1369 1369 110078 110078
586 58 58 1372 1372 110482 110482
587 58 58 1376 1376 110802 110802
588 59 59 1380 1380 111372 111372
589 59 59 1382 1382 111683 111683
590 58 58 1390 1390 112242 112242
591 58 58 1387 1387 112486 112486
592 59 59 1393 1393 112749 112749
593 59 59 1390 1390 112990 112990
594 59 59 1393 1393 113635 113635
595 59 59 1397 1397 113978 113978
596 59 59 1396 1396 114368 114368
597 59 59 1404 1404 114634 114634
598 59 59 1408 1408 115158 115158
599 59 59 1396 1396 115415 115415
600 59 59 1404 1404 115879 115879
601 59 59 1409 1409 116284 116284
602 59 59 1413 1413 116588 116588
603 59 59 1412 1412 116984 116984
604 59 59 1413 1413 117497 117497
605 59 59 1420 1420 117849 117849
606 60 60 1425 1425 118316 118316
607 59 59 1421 1421 118612 118612
608 59 59 1426 1426 119037 119037
609 59 59 1426 1426 119562 119562
610 59 59 1433 1433 119837 119837
611 59 59 1434 1434 120204 120204
612 59 59 1437 1437 120601 120601
613 59 59 1439 1439 120898 120898
614 59 59 1443 1443 121530 121530
615 60 60 1443 1443 121965 121965
616 60 60 1442 1442 122052 122052
617 59 59 1450 1450 122698 122698
618 59 59 1448 1448 123011 123011
619 59 59 1456 1456 123461 123461
620 59 59 1453 1453 123558 123558
621 59 59 1459 1459 124148 124148
622 59 59 1461 1461 124401 124401
623 60 60 1463 1463 124930 124930
624 59 59 1466 1466 125367 125367
625 59 59 1466 1466 125841 125841
626 59 59 1469 1469 126158 126158
627 60 60 1470 1470 126620 126620
628 60 60 1478 1478 126873 126873
629 59 59 1482 1482 127453 127453
630 59 59 1481 1481 127799 127799
631 59 59 1483 1483 128314 128314
632 60 60 1489 1489 128597 128597
633 60 60 1492 1492 128899 128899
634 60 60 1484 1484 129399 129399
635 59 59 1497 1497 129911 129911
636 59 59 1492 1492 130319 130319
637 60 60 1499 1499 130686 130686
638 60 60 1496 1496 130954 130954
639 60 60 1510 1510 131281 131281
640 60 60 1508 1508 131934 131934
641 60 60 1511 1511 132134 132134
642 59 59 1516 1516 132784 132784
643 59 59 1513 1513 133175 133175
644 60 60 1516 1516 133576 133576
645 60 60 1520 1520 134123 134123
646 60 60 1526 1526 134343 134343
647 60 60 1529 1529 134747 134747
648 60 60 1522 1522 135145 135145
649 60 60 1532 1532 135723 135723
650 60 60 1528 1528 135902 135902
651 60 60 1534 1534 136266 136266
652 60 60 1534 1534 136896 136896
653 59 59 1535 1535 137248 137248
654 60 60 1542 1542 137695 137695
655 60 60 1541 1541 138162 138162
656 59 59 1542 1542 138571 138571
657 60 60 1545 1545 139066 139066
658 60 60 1554 1554 139454 139454
659 60 60 1552 1552 139847 139847
660 60 60 1551 1551 140155 140155
661 60 60 1554 1554 140714 140714
662 60 60 1561 1561 141178 141178
663 60 60 1568 1568 141514 141514
664 60 60 1571 1571 141977 141977
665 60 60 1564 1564 142477 142477
666 60 60 1571 1571 142782 142782
667 60 60 1570 1570 143294 143294
668 60 60 1579 1579 143640 143640
669 60 60 1574 1574 144247 144247
670 61 61 1585 1585 144651 144651
671 60 60 1591 1591 144956 144956
672 60 60 1589 1589 145523 145523
673 61 61 1590 1590 145908 145908
674 60 60 1593 1593 146157 146157
675 60 60 1593 1593 146473 146473
676 60 60 1591 1591 147313 147313
